"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA",2013-11-18,1,60,46,53,-7,46.46,46,53,1,3,-2,25,1,3,1.78,1.89,-0.11,48.48,1.78,1.89,3,1,-2,3.57,88.89,92.46
"ANA",2013-11-20,1,61.97,47,53,-6,47,45.51,51.32,3,4,-1,42.86,2.9,3.87,2.77,3.16,-0.39,46.68,2.68,3.06,4,5,1,12,84.62,96.62
"ANA",2013-11-22,1,64.9,63,56,7,52.94,58.24,51.77,1,0,1,100,0.92,0,3.8,2.95,0.85,56.31,3.52,2.73,10,7,-3,2.38,100,102.38
"ANA",2013-11-23,1,60,51,83,-32,38.06,51,83,4,2,2,66.67,4,2,3.45,3.34,0.1,50.76,3.45,3.34,5,5,0,14.81,95.45,110.27
"ANA",2013-11-26,1,60,66,58,8,53.23,66,58,3,6,-3,33.33,3,6,2.55,4.13,-1.58,38.15,2.55,4.13,3,2,-1,9.68,81.82,91.5
"ANA",2013-11-29,1,60,73,46,27,61.34,73,46,5,2,3,71.43,5,2,4.11,1.63,2.48,71.64,4.11,1.63,0,4,4,11.9,90.48,102.38
"ANA",2013-11-30,1,65,59,79,-20,42.75,54.46,72.92,3,3,0,50,2.77,2.77,2.36,3.94,-1.58,37.5,2.18,3.64,8,6,-2,9.68,91.43,101.11
"ANA",2013-12-03,1,65,53,103,-50,33.97,48.92,95.08,2,2,0,50,1.85,1.85,2.7,5.29,-2.59,33.8,2.49,4.88,6,7,1,7.14,96.08,103.22
"ANA",2013-12-06,1,65,49,61,-12,44.55,45.23,56.31,2,2,0,50,1.85,1.85,2.5,2.29,0.21,52.19,2.31,2.12,4,1,-3,7.69,92,99.69
"ANA",2013-12-07,1,60,33,57,-24,36.67,33,57,5,2,3,71.43,5,2,2.5,1.96,0.54,56.1,2.5,1.96,6,3,-3,21.74,92.86,114.6
"ANA",2013-12-09,1,60,57,71,-14,44.53,57,71,5,2,3,71.43,5,2,3.55,3.12,0.43,53.2,3.55,3.12,6,5,-1,16.13,94.59,110.72
"ANA",2013-12-11,1,60,46,43,3,51.69,46,43,2,1,1,66.67,2,1,1.94,1.95,-0.02,49.8,1.94,1.95,2,3,1,6.45,95.83,102.28
"ANA",2013-12-15,1,60,67,39,28,63.21,67,39,3,2,1,60,3,2,2.15,1.39,0.75,60.63,2.15,1.39,2,3,1,8.82,92,100.82
"ANA",2013-12-17,1,60,52,32,20,61.9,52,32,5,2,3,71.43,5,2,3.7,0.96,2.73,79.34,3.7,0.96,2,4,2,16.67,88.89,105.56
"ANA",2013-12-20,1,62.62,35,36,-1,49.3,33.54,34.5,3,2,1,60,2.87,1.92,1.76,1.72,0.04,50.61,1.69,1.65,3,4,1,12.5,90.48,102.98
"ANA",2013-12-21,1,60,62,44,18,58.49,62,44,5,3,2,62.5,5,3,3.51,1.91,1.61,64.81,3.51,1.91,3,6,3,16.13,85.71,101.84
"ANA",2013-12-23,1,60,56,53,3,51.38,56,53,3,2,1,60,3,2,3.28,1.53,1.75,68.15,3.28,1.53,5,4,-1,10.34,89.47,99.82
"ANA",2013-12-28,1,60.85,61,51,10,54.46,60.15,50.29,3,2,1,60,2.96,1.97,3.14,1.51,1.63,67.53,3.1,1.49,2,3,1,7.32,92,99.32
"ANA",2013-12-29,1,60,70,51,19,57.85,70,51,1,3,-2,25,1,3,1.83,2.18,-0.35,45.58,1.83,2.18,2,1,-1,3.23,86.96,90.18
"ANA",2013-12-31,1,60,53,65,-12,44.92,53,65,6,3,3,66.67,6,3,5.09,3.95,1.14,56.29,5.09,3.95,7,5,-2,15.79,91.67,107.46
"ANA",2014-01-03,1,60,68,33,35,67.33,68,33,5,2,3,71.43,5,2,5.36,1.49,3.86,78.18,5.36,1.49,3,8,5,13.51,88.89,102.4
"ANA",2014-01-05,1,64.97,90,44,46,67.16,83.12,40.64,4,3,1,57.14,3.69,2.77,4.5,1.94,2.56,69.87,4.16,1.79,4,4,0,8.16,85,93.16
"ANA",2014-01-07,1,60,42,73,-31,36.52,42,73,5,2,3,71.43,5,2,1.87,3,-1.13,38.42,1.87,3,4,4,0,25,93.75,118.75
"ANA",2014-01-09,1,60,57,47,10,54.81,57,47,4,3,1,57.14,4,3,4.87,2.69,2.18,64.4,4.87,2.69,4,5,1,14.29,88.46,102.75
"ANA",2014-01-11,1,60,43,78,-35,35.54,43,78,5,3,2,62.5,5,3,1.55,3.8,-2.25,29,1.55,3.8,7,4,-3,16.67,90.32,106.99
"ANA",2014-01-12,1,60,44,63,-19,41.12,44,63,1,0,1,100,1,0,2.2,2.74,-0.53,44.62,2.2,2.74,5,4,-1,4.35,100,104.35
"ANA",2014-01-15,1,60,80,62,18,56.34,80,62,9,1,8,90,9,1,6.71,2.68,4.04,71.49,6.71,2.68,6,16,10,20.45,96.88,117.33
"ANA",2014-01-17,1,60,38,74,-36,33.93,38,74,2,4,-2,33.33,2,4,1.5,3.68,-2.18,28.9,1.5,3.68,5,2,-3,9.52,88.57,98.1
"ANA",2014-01-18,1,60,49,73,-24,40.16,49,73,3,2,1,60,3,2,2.61,2.13,0.48,55.09,2.61,2.13,4,4,0,14.29,94.44,108.73
"ANA",2014-01-21,1,60,94,40,54,70.15,94,40,2,3,-1,40,2,3,4.54,1.96,2.57,69.8,4.54,1.96,2,4,2,4.76,85.71,90.48
"ANA",2014-01-23,1,60,38,61,-23,38.38,38,61,2,1,1,66.67,2,1,2.08,2.76,-0.68,43,2.08,2.76,4,5,1,9.52,96.77,106.3
"ANA",2014-01-25,1,60,34,70,-36,32.69,34,70,3,0,3,100,3,0,2.31,3.27,-0.96,41.41,2.31,3.27,6,5,-1,14.29,100,114.29
"ANA",2014-01-28,1,60,58,58,0,50,58,58,2,4,-2,33.33,2,4,2.65,3.92,-1.27,40.35,2.65,3.92,6,4,-2,6.06,87.88,93.94
"ANA",2014-01-30,1,60,53,66,-13,44.54,53,66,5,3,2,62.5,5,3,3.04,2.43,0.61,55.58,3.04,2.43,5,2,-3,17.86,90,107.86
"ANA",2014-02-01,1,60,53,56,-3,48.62,53,56,0,2,-2,0,0,2,1.97,3.75,-1.79,34.39,1.97,3.75,4,4,0,0,92.59,92.59
"ANA",2014-02-03,1,60,68,56,12,54.84,68,56,2,4,-2,33.33,2,4,3.34,3.14,0.2,51.55,3.34,3.14,5,2,-3,5.56,87.88,93.43
"ANA",2014-02-05,1,60,69,44,25,61.06,69,44,0,2,-2,0,0,2,3.14,1.99,1.15,61.2,3.14,1.99,2,5,3,0,92,92
"ANA",2014-02-08,1,60,52,63,-11,45.22,52,63,5,2,3,71.43,5,2,2.93,2.71,0.22,51.99,2.93,2.71,5,7,2,20.83,94.74,115.57
"ANA",2014-02-28,1,60,38,75,-37,33.63,38,75,1,0,1,100,1,0,1.44,2.01,-0.56,41.85,1.44,2.01,5,5,0,5.26,100,105.26
"ANA",2014-03-02,1,60,61,85,-24,41.78,61,85,5,3,2,62.5,5,3,2.88,4.55,-1.67,38.77,2.88,4.55,8,6,-2,14.71,94.23,108.94
"ANA",2014-03-05,1,65,76,68,8,52.78,70.15,62.77,3,3,0,50,2.77,2.77,4.95,4.55,0.4,52.1,4.57,4.2,6,7,1,7.14,90.32,97.47
"ANA",2014-03-07,1,65,66,54,12,55,60.92,49.85,2,2,0,50,1.85,1.85,2.68,1.62,1.06,62.34,2.48,1.5,5,5,0,6.45,88.24,94.69
"ANA",2014-03-10,1,60,91,41,50,68.94,91,41,1,3,-2,25,1,3,3.54,2.23,1.31,61.35,3.54,2.23,7,9,2,2.27,86.96,89.23
"ANA",2014-03-12,1,60,45,48,-3,48.39,45,48,2,7,-5,22.22,2,7,1.23,2.05,-0.82,37.57,1.23,2.05,5,3,-2,9.09,72,81.09
"ANA",2014-03-14,1,60,63,67,-4,48.46,63,67,6,4,2,60,6,4,3.34,3.32,0.03,50.21,3.34,3.32,8,3,-5,18.18,89.47,107.66
"ANA",2014-03-15,1,60,40,68,-28,37.04,40,68,2,1,1,66.67,2,1,2.22,3.46,-1.25,39,2.22,3.46,4,4,0,10,97.37,107.37
"ANA",2014-03-18,1,60,79,54,25,59.4,79,54,2,3,-1,40,2,3,4.3,3.26,1.04,56.87,4.3,3.26,4,6,2,4.44,90,94.44
"ANA",2014-03-20,1,60,48,65,-17,42.48,48,65,2,3,-1,40,2,3,2,2.93,-0.93,40.6,2,2.93,3,2,-1,11.11,89.29,100.4
"ANA",2014-03-23,1,60,73,52,21,58.4,73,52,6,2,4,75,6,2,5.06,2.09,2.97,70.79,5.06,2.09,1,3,2,15,93.33,108.33
